CountryName,CountryCode,Year,CO2_emissions,InternetUsers,GDP_per_capita,LiteracyRate,Physicians,HealthExpenditure,Unemployment,InfantMortality,LifeExpectancy,Population,Region,IncomeGroup,Region_Encoded,IncomeGroup_Encoded
Pakistan,PAK,2006,0.929856974225615,6.5,873.77027271847,54.1512107849121,,3.00717123,0.582000017166138,78.4,64.06,157093993.0,South Asia,Lower middle income,5,2
Palau,PLW,2006,13.1932840295823,13.66,9396.24725164901,,1.299,9.46535135,6.35300016403198,18.7,,20012.0,East Asia & Pacific,High income,0,0
Panama,PAN,2006,2.17301781742118,17.34956617,5348.5183989528,,1.354,6.55015593,3.93499994277954,19.2,76.114,3391905.0,Latin America & Caribbean,High income,2,0
Papua New Guinea,PNG,2006,0.665926409276148,1.754487261,1283.77036425584,,,2.44024021,2.11100006103516,54.8,63.733,6470272.0,East Asia & Pacific,Lower middle income,0,2
Paraguay,PRY,2006,0.677573895134219,7.962073884,2282.83116570096,,,5.30607796,5.27600002288818,24.5,71.485,5882796.0,Latin America & Caribbean,Upper middle income,2,4
Peru,PER,2006,1.24783208867968,20.7,3171.49805601571,88.6993408203125,,4.50696134,4.26000022888184,19.6,72.764,27949944.0,Latin America & Caribbean,Upper middle income,2,4
Philippines,PHL,2006,0.770906137073974,5.740586325,1391.77229166096,,,3.94585048,4.05200004577637,26.1,67.892,87809419.0,East Asia & Pacific,Lower middle income,0,2
Poland,POL,2006,8.36209746257249,44.58,9038.73084652356,,2.012,5.80066618,13.8400001525879,6.3,75.1439024390244,38141267.0,Europe & Central Asia,High income,1,0
Portugal,PRT,2006,5.68470507555011,38.01,19821.4446268632,,3.511,9.13617167,7.64699983596802,3.4,78.419512195122,10522288.0,Europe & Central Asia,High income,1,0
Post-demographic dividend,PST,2006,11.8553982559752,60.4171288561455,30637.443815953535,,,10.7571070241846,5.92048755704679,5.28754315183316,78.7609618034885,1052107843.0,,,7,3
Pre-demographic dividend,PRE,2006,0.457788036549659,2.45401575980094,943.769322081099,57.1072616577148,,4.37218761698202,5.63548952883201,77.1469259379716,54.2541233053235,658586521.0,,,7,3
Puerto Rico,PRI,2006,2.91508151810172,25.44241821,22935.9411493385,,,5.46509211,11.0100002288818,22.1,78.4163414634146,3805214.0,Latin America & Caribbean,High income,2,0
Qatar,QAT,2006,14.808246413632371,28.97411271,30637.443815953535,,2.34,2.20338103,0.870000004768372,8.6,76.843,1010382.0,Middle East & North Africa,High income,3,0
Romania,ROU,2006,4.87646967786745,24.66,5828.74566230123,,1.917,5.00907337,7.26900005340576,13.7,72.1634146341463,21193760.0,Europe & Central Asia,Upper middle income,1,4
Russian Federation,RUS,2006,11.6691220679875,18.02327746,6920.194397836,,4.309,4.7532208,7.05499982833862,11.1,66.7275609756098,143049528.0,Europe & Central Asia,Upper middle income,1,4
